fund_name,asset,weight,Holding,label
fund 29,Technology_Large Cap_0,0.0017605364188336,0.17605364188336,Technology_Large Cap
fund 30,Technology_Large Cap_0,0.0208085481735152,2.08085481735152,Technology_Large Cap
fund 40,Technology_Large Cap_0,0.0005944005142222,0.05944005142222,Technology_Large Cap
fund 41,Technology_Large Cap_0,0.0102721432544251,1.02721432544251,Technology_Large Cap
fund 120,Technology_Large Cap_0,0.0020991491682181,0.20991491682181,Technology_Large Cap
fund 121,Technology_Large Cap_0,0.006093123438943,0.6093123438943,Technology_Large Cap
fund 123,Technology_Large Cap_0,0.0029272469620915,0.29272469620915,Technology_Large Cap
fund 165,Technology_Large Cap_0,0.0010042146959719,0.1004214695971899,Technology_Large Cap
fund 177,Technology_Large Cap_0,0.0061489667200769,0.6148966720076899,Technology_Large Cap
fund 246,Technology_Large Cap_0,0.0003701792493626,0.03701792493626,Technology_Large Cap
fund 285,Technology_Large Cap_0,0.0075822010462369,0.75822010462369,Technology_Large Cap
fund 301,Technology_Large Cap_0,0.0023160915268901,0.2316091526890099,Technology_Large Cap
fund 316,Technology_Large Cap_0,0.0004599632710662,0.04599632710662,Technology_Large Cap
fund 347,Technology_Large Cap_0,0.0046633320834662,0.46633320834662,Technology_Large Cap
fund 418,Technology_Large Cap_0,0.0017700197621293,0.17700197621293,Technology_Large Cap
fund 45,Technology_Large Cap_1,0.027421009955604,2.7421009955603997,Technology_Large Cap
fund 46,Technology_Large Cap_1,0.0029573115547542,0.29573115547542,Technology_Large Cap
fund 121,Technology_Large Cap_1,0.0392116180596554,3.92116180596554,Technology_Large Cap
fund 122,Technology_Large Cap_1,0.0305171803793249,3.0517180379324897,Technology_Large Cap
fund 123,Technology_Large Cap_1,0.020895082220665,2.0895082220665,Technology_Large Cap
fund 165,Technology_Large Cap_1,0.0227769588158548,2.27769588158548,Technology_Large Cap
fund 188,Technology_Large Cap_1,0.1019586047419145,10.19586047419145,Technology_Large Cap
fund 285,Technology_Large Cap_1,0.046072866839757,4.607286683975699,Technology_Large Cap
fund 320,Technology_Large Cap_1,0.0880463554532505,8.80463554532505,Technology_Large Cap
fund 347,Technology_Large Cap_1,0.027977456366431,2.7977456366431,Technology_Large Cap
fund 409,Technology_Large Cap_1,0.0306784568024249,3.06784568024249,Technology_Large Cap
fund 412,Technology_Large Cap_1,0.0047834075168183,0.47834075168183,Technology_Large Cap
fund 418,Technology_Large Cap_1,0.0039607420863224,0.39607420863224,Technology_Large Cap
fund 481,Technology_Large Cap_1,0.0077232212876988,0.77232212876988,Technology_Large Cap
fund 489,Technology_Large Cap_1,0.0378695547346451,3.78695547346451,Technology_Large Cap
fund 29,Technology_Large Cap_2,0.0028408201300003,0.28408201300003,Technology_Large Cap
fund 30,Technology_Large Cap_2,0.0335768927555423,3.35768927555423,Technology_Large Cap
fund 40,Technology_Large Cap_2,0.0008291722631584,0.08291722631584,Technology_Large Cap
fund 41,Technology_Large Cap_2,0.0143293554866849,1.4329355486684898,Technology_Large Cap
fund 121,Technology_Large Cap_2,0.0131077147669327,1.31077147669327,Technology_Large Cap
fund 211,Technology_Large Cap_2,0.0007358158103076,0.07358158103076,Technology_Large Cap
fund 212,Technology_Large Cap_2,0.0008476165868571,0.0847616586857099,Technology_Large Cap
fund 213,Technology_Large Cap_2,0.0073568560552804,0.7356856055280401,Technology_Large Cap
fund 246,Technology_Large Cap_2,0.0018155685547054,0.1815568554705399,Technology_Large Cap
fund 347,Technology_Large Cap_2,0.0094659690568885,0.94659690568885,Technology_Large Cap
fund 409,Technology_Large Cap_2,0.0023757914924679,0.23757914924679,Technology_Large Cap
fund 418,Technology_Large Cap_2,0.0011912303319482,0.11912303319482,Technology_Large Cap
fund 432,Technology_Large Cap_2,0.007572512378115,0.7572512378115,Technology_Large Cap
fund 489,Technology_Large Cap_2,0.0031778243106797,0.31778243106797,Technology_Large Cap
fund 1,Technology_Large Cap_3,0.2185412380503315,21.854123805033147,Technology_Large Cap
fund 44,Technology_Large Cap_3,0.0297729878738644,2.97729878738644,Technology_Large Cap
fund 45,Technology_Large Cap_3,0.0300627715150315,3.00627715150315,Technology_Large Cap
fund 46,Technology_Large Cap_3,0.0032422212643983,0.32422212643983,Technology_Large Cap
fund 121,Technology_Large Cap_3,0.0398530129104659,3.9853012910465897,Technology_Large Cap
fund 122,Technology_Large Cap_3,0.0402603033070981,4.02603033070981,Technology_Large Cap
fund 165,Technology_Large Cap_3,0.0392033542630069,3.9203354263006895,Technology_Large Cap
fund 241,Technology_Large Cap_3,0.1487507834151794,14.87507834151794,Technology_Large Cap
fund 301,Technology_Large Cap_3,0.0073549156830505,0.73549156830505,Technology_Large Cap
fund 316,Technology_Large Cap_3,0.0394480278554888,3.94480278554888,Technology_Large Cap
fund 333,Technology_Large Cap_3,0.0276949969191952,2.76949969191952,Technology_Large Cap
fund 347,Technology_Large Cap_3,0.0275586245068159,2.75586245068159,Technology_Large Cap
fund 418,Technology_Large Cap_3,0.0038457732478075,0.38457732478075,Technology_Large Cap
fund 424,Technology_Large Cap_3,0.0492974410598119,4.92974410598119,Technology_Large Cap
fund 432,Technology_Large Cap_3,0.0297625865676009,2.97625865676009,Technology_Large Cap
fund 454,Technology_Large Cap_3,0.0031197550158103,0.31197550158103,Technology_Large Cap
fund 35,Technology_Large Cap_5,0.0302902507523808,3.02902507523808,Technology_Large Cap
fund 36,Technology_Large Cap_5,0.0025526144855942,0.25526144855942,Technology_Large Cap
fund 56,Technology_Large Cap_5,0.0080459052007577,0.8045905200757699,Technology_Large Cap
fund 120,Technology_Large Cap_5,0.0416004335597531,4.16004335597531,Technology_Large Cap
fund 121,Technology_Large Cap_5,0.0395651363479713,3.9565136347971297,Technology_Large Cap
fund 122,Technology_Large Cap_5,0.021337801708702,2.1337801708702,Technology_Large Cap
