fund_name,asset,weight,Holding
fund 29,Technology_Large Cap_0,0.0017605364188336,0.17605364188336
fund 30,Technology_Large Cap_0,0.0208085481735152,2.08085481735152
fund 40,Technology_Large Cap_0,0.0005944005142222,0.05944005142222
fund 41,Technology_Large Cap_0,0.0102721432544251,1.02721432544251
fund 120,Technology_Large Cap_0,0.0020991491682181,0.20991491682181
fund 121,Technology_Large Cap_0,0.006093123438943,0.6093123438943
fund 123,Technology_Large Cap_0,0.0029272469620915,0.29272469620915
fund 165,Technology_Large Cap_0,0.0010042146959719,0.10042146959718999
fund 177,Technology_Large Cap_0,0.0061489667200769,0.6148966720076899
fund 246,Technology_Large Cap_0,0.0003701792493626,0.03701792493626
fund 285,Technology_Large Cap_0,0.0075822010462369,0.75822010462369
fund 301,Technology_Large Cap_0,0.0023160915268901,0.23160915268900997
fund 316,Technology_Large Cap_0,0.0004599632710662,0.04599632710662
fund 347,Technology_Large Cap_0,0.0046633320834662,0.46633320834662
fund 418,Technology_Large Cap_0,0.0017700197621293,0.17700197621293
fund 45,Technology_Large Cap_1,0.027421009955604,2.7421009955603997
fund 46,Technology_Large Cap_1,0.0029573115547542,0.29573115547542
fund 121,Technology_Large Cap_1,0.0392116180596554,3.92116180596554
fund 122,Technology_Large Cap_1,0.0305171803793249,3.0517180379324897
fund 123,Technology_Large Cap_1,0.020895082220665,2.0895082220664998
fund 165,Technology_Large Cap_1,0.0227769588158548,2.27769588158548
fund 188,Technology_Large Cap_1,0.1019586047419145,10.19586047419145
fund 285,Technology_Large Cap_1,0.046072866839757,4.607286683975699
fund 320,Technology_Large Cap_1,0.0880463554532505,8.80463554532505
fund 347,Technology_Large Cap_1,0.027977456366431,2.7977456366431
fund 409,Technology_Large Cap_1,0.0306784568024249,3.06784568024249
fund 412,Technology_Large Cap_1,0.0047834075168183,0.47834075168183
fund 418,Technology_Large Cap_1,0.0039607420863224,0.39607420863224
fund 481,Technology_Large Cap_1,0.0077232212876988,0.77232212876988
fund 489,Technology_Large Cap_1,0.0378695547346451,3.78695547346451
